publicationYear,title,isPartOf,docType,issueNumber,volumeNumber,creator
2017,Horizontal Immobility: How Narratives of Neighborhood Violence Shape Housing Decisions,American Sociological Review,article,2,82,Eva Rosen
2009,Groups Reward Individual Sacrifice: The Status Solution to the Collective Action Problem,American Sociological Review,article,1,74,Robb Willer
2015,Elements of Professional Expertise: Understanding Relational and Substantive Expertise through Lawyers' Impact,American Sociological Review,article,5,80,Rebecca L. Sandefur
2005,Civic Associations and Authoritarian Regimes in Interwar Europe: Italy and Spain in Comparative Perspective,American Sociological Review,article,2,70,Dylan Riley
2019,The Cognitive Dimension of Household Labor,American Sociological Review,article,4,84,Allison Daminger
2018,Difficult People: Who Is Perceived to Be Demanding in Personal Networks and Why Are They There?,American Sociological Review,article,1,83,Shira Offer; Claude S. Fischer
2002,The Search for Oppositional Culture among Black Students,American Sociological Review,article,1,67,Douglas B. Downey; James W. Ainsworth-Darnell
1966,Research on Socialization and Personality Development in the United States and France: Remarks on the Paper by Professor Chombart de Lauwe,American Sociological Review,article,2,31,John A. Clausen
1989,The Real and Unrealized Contributions of Quantitative Sociology,American Sociological Review,article,3,54,"Hubert M. Blalock, Jr."
2014,"Unmasking the Conflicting Trends in Job Tenure by Gender in the United States, 1983–2008",American Sociological Review,article,1,79,Kristin E. Smith; Matissa N. Hollister
1991,"It Happened Here: Political Opportunity, the New Institutionalism, and the Townsend Movement",American Sociological Review,article,2,56,Edwin Amenta; Yvonne Zylan
1992,The Effects of Attitudes on Teenage Premarital Pregnancy and its Resolution,American Sociological Review,article,6,57,Robert D. Plotnick
2019,Crossing Categorical Boundaries: A Study of Diversification by Social Movement Organizations,American Sociological Review,article,3,84,Sarah A. Soule; Dan J. Wang; Hayagreeva Rao
1998,The Evolution of Trust and Cooperation between Strangers: A Computational Model,American Sociological Review,article,5,63,Michael W. Macy; John Skvoretz
2002,The Political Sociology of the Death Penalty: A Pooled Time-Series Analysis,American Sociological Review,article,1,67,David Jacobs; Jason T. Carmichael
1990,Macro-Micro Links in Gender Stratification: 1989 Presidential Address,American Sociological Review,article,1,55,Joan Huber
1957,The Formal Analysis of Normative Concepts,American Sociological Review,article,1,22,Alan Ross Anderson; Omar Khayyam Moore
2017,"Rising Intragenerational Occupational Mobility in the United States, 1969 to 2011",American Sociological Review,article,3,82,Benjamin F. Jarvis; Xi Song
1988,The Formative Years of U.S. Social Spending Policies: Theories of the Welfare State and the American States During the Great Depression,American Sociological Review,article,5,53,Edwin Amenta; Bruce G. Carruthers
1987,Limits of Ethnic Solidarity in the Enclave Economy,American Sociological Review,article,6,52,Jimy M. Sanders; Victor Nee
2000,Is Engineering Hostile to Women? An Analysis of Data from the 1993 National Survey of College Graduates,American Sociological Review,article,2,65,Laurie A. Morgan
2010,Neighborhood Context and the Gender Gap in Adolescent Violent Crime,American Sociological Review,article,6,75,Gregory M. Zimmerman; Steven F. Messner
2001,Marriage Delayed or Marriage Forgone? New Cohort Forecasts of First Marriage for U.S. Women,American Sociological Review,article,4,66,Joshua R. Goldstein; Catherine T. Kenney
2018,It’s Only Wrong If It’s Transactional,American Sociological Review,article,6,83,Oliver Schilke; Gabriel Rossman
2013,Pathways to Empowerment,American Sociological Review,article,4,78,Cheol-Sung Lee; Maria Akchurin
2010,Cultural Foundations of Tokenism: Evidence from the Leveraged Buyout Industry,American Sociological Review,article,6,75,Catherine J. Turco
1946,The Ward-Ross Correspondence II 1897-1901,American Sociological Review,article,5,11,Bernhard J. Stern
2006,Deterring Delinquents: A Rational Choice Model of Theft and Violence,American Sociological Review,article,1,71,David Huizinga; Ross L. Matsueda; Derek A. Kreager
2004,"“Generations and Collective Memory” Revisited: Race, Region, and Memory of Civil Rights",American Sociological Review,article,4,69,Larry J. Griffin
2016,"Whose Backyard and What's at Issue? Spatial and Ideological Dynamics of Local Opposition to Fracking in New York State, 2010 to 2013",American Sociological Review,article,5,81,Fedor A. Dokshin
1941,Supreme Values and the Sociologist,American Sociological Review,article,2,6,Howard Becker
1993,Family Structure and the Risk of a Premarital Birth,American Sociological Review,article,2,58,Lawrence L. Wu; Brian C. Martinson
1957,Priorities in Scientific Discovery: A Chapter in the Sociology of Science,American Sociological Review,article,6,22,Robert K. Merton
2000,"Work as a Turning Point in the Life Course of Criminals: A Duration Model of Age, Employment, and Recidivism",American Sociological Review,article,4,65,Christopher Uggen
1985,"Same Time, Last Year: Selective Data Dredging for Negative Findings",American Sociological Review,article,3,50,David P. Phillips; Kenneth A. Bollen
2009,"Social Class, School and Non-School Environments, and Black/White Inequalities in Children's Learning",American Sociological Review,article,5,74,Dennis J. Condron
2004,Structural Incoherence and Stock Market Activity,American Sociological Review,article,3,69,Ezra W. Zuckerman
2017,Denunciation and Social Control,American Sociological Review,article,2,82,Patrick Bergemann
2007,Workers of the Less Developed World Unite? A Multilevel Analysis of Unionization in Less Developed Countries,American Sociological Review,article,4,72,David Brady; Nathan D. Martin
2012,Symmetry Is Beautiful,American Sociological Review,article,6,77,Uri Shwed; Peter S. Bearman
1976,Career Attributes and Network Structure: A Blockmodel Study of a Biomedical Research Specialty,American Sociological Review,article,1,41,Ronald L. Brieger
2010,The Temporal Structure of Scientific Consensus Formation,American Sociological Review,article,6,75,Uri Shwed; Peter S. Bearman
1988,Grievances and Participation in Social Movements,American Sociological Review,article,6,53,Karl-Dieter Opp
1993,Booing: The Anatomy of a Disaffiliative Response,American Sociological Review,article,1,58,Steven E. Clayman
2019,The Relation between Inequality and Intergenerational Class Mobility in 39 Countries,American Sociological Review,article,6,84,Florian R. Hertel; Olaf Groh-Samberg
2013,"The Care Economy? Gender, Economic Restructuring, and Job Polarization in the U.S. Labor Market",American Sociological Review,article,3,78,Rachel E. Dwyer
2012,Politics of Organizational Adornment: Lessons from Las Vegas and Beyond,American Sociological Review,article,1,77,Jeffrey J. Sallaz
1978,"Reply to Stumpp, Marsh, and Lake",American Sociological Review,article,4,43,Christopher Chase-Dunn
1969,Physicians and Medicare: A Before-After Study of the Effects of Legislation on Attitudes,American Sociological Review,article,3,34,John Colombotos
2014,Entrepreneurship as a Mobility Process,American Sociological Review,article,2,79,Jesper B. Sørensen; Amanda J. Sharkey
1989,Immigrant Entrepreneurship: Effects of Ethnic Market Size and Isolated Labor Pool,American Sociological Review,article,6,54,M. D. R. Evans
2014,"Prenatal Exposure to Violence and Birth Weight in Mexico: Selectivity, Exposure, and Behavioral Responses",American Sociological Review,article,5,79,Andrés Villarreal; Florencia Torche
2017,Horizontal Immobility,American Sociological Review,article,2,82,Eva Rosen
1962,Achievement Motivation and Religious Background,American Sociological Review,article,2,27,Joseph Veroff; Sheila Feld; Gerald Gurin
1983,The Norm of Even-Handedness in Surveys as in Life,American Sociological Review,article,1,48,Howard Schuman; Jacob Ludwig
2006,Free-Market and Religious Fundamentalists versus Poor Relief,American Sociological Review,article,3,71,Alexander Hicks
2009,Discrimination in a Low-Wage Labor Market,American Sociological Review,article,5,74,Devah Pager; Bart Bonikowski; Bruce Western
1976,Reply to Carroll,American Sociological Review,article,6,41,William D. Crano; Joel Aronoff
2006,Is there No Place for Culture in a Sociology of Legal and Illegal Enterprise?,American Sociological Review,article,1,71,Jeffery T. Ulmer; Darrell Steffensmeier
2005,"From Poverty to Perversity: Ideas, Markets, and Institutions over 200 Years of Welfare Debate",American Sociological Review,article,2,70,Fred Block; Margaret R. Somers
2017,Cultural Meanings and the Aggregation of Actions: The Case of Sex and Schooling in Malawi,American Sociological Review,article,5,82,Margaret Frye
1995,Class and Class Conflict in Six Western Nations,American Sociological Review,article,2,60,Jonathan Kelley; M. D. R. Evans
1996,Using Racial and Ethnic Concepts: The Critical Case of Very Young Children,American Sociological Review,article,5,61,Debra Van Ausdale; Joe R. Feagin
2009,Reply to Fischer: Models and Marginals: Using Survey Evidence to Study Social Networks,American Sociological Review,article,4,74,Miller McPherson; Lynn Smith-Lovin; Matthew E. Brashears
1995,A Comparative Study of Working-Class Disorganization: Union Decline in Eighteen Advanced Capitalist Countries,American Sociological Review,article,2,60,Bruce Western
2011,"How General Is Trust in ""Most People""? Solving the Radius of Trust Problem",American Sociological Review,article,5,76,Jan Delhey; Kenneth Newton; Christian Welzel
1976,A Practitioner's Perspective on the Index of Dissimilarity,American Sociological Review,article,5,41,Karl E. Taeuber; Alma F. Taeuber
2006,When Do National Movements Adopt or Reject International Agendas? A Comparative Analysis of the Chinese and Indian Women's Movements,American Sociological Review,article,6,71,Dongxiao Liu
1993,The Social Organization of Conspiracy: Illegal Networks in the Heavy Electrical Equipment Industry,American Sociological Review,article,6,58,Wayne E. Baker; Robert R. Faulkner
2006,Is Telling Stories Good for Democracy? Rhetoric in Public Deliberation after 9/II,American Sociological Review,article,5,71,Francesca Polletta; John Lee
1991,Family of Origin and Cohort Differences in Verbal Ability,American Sociological Review,article,5,56,Duane F. Alwin
1980,The Flemish Movement in Belgium After World War II: A Dynamic Analysis,American Sociological Review,article,1,45,François Nielsen
1962,A Plea for a Decent Burial,American Sociological Review,article,6,27,Raymond E. Wolfinger
1941,Religion in a Rural Community of the South,American Sociological Review,article,2,6,Frank D. Alexander
2017,What Makes Popular Culture Popular? Product Features and Optimal Differentiation in Music,American Sociological Review,article,5,82,Noah Askin; Michael Mauskapf
1976,Reply to Alexander and Griffin,American Sociological Review,article,4,41,Charles E. Bidwell; John D. Kasarda
1976,The Literary Rhetoric of Science: Comedy and Pathos in Drinking Driver Research,American Sociological Review,article,1,41,Joseph Gusfield
2006,Movements and Memory: The Making of the Stonewall Myth,American Sociological Review,article,5,71,Elizabeth A. Armstrong; Suzanna M. Crage
2006,"Blaming the Victims: Hearsay, Labeling, and the Hazards of Quick-Hit Disaster Ethnography",American Sociological Review,article,4,71,Eric Klinenberg
1977,Distributive Justice and Earned Income,American Sociological Review,article,4,42,Guillermina Jasso; Peter H. Rossi
1966,Social Status and Psychological Disorder: An Issue of Substance and an Issue of Method,American Sociological Review,article,1,31,Bruce P. Dohrenwend
1981,Paradigm Analysis in Sociology: Clarifying the Issues,American Sociological Review,article,2,46,George Ritzer
2017,Cultural Meanings and the Aggregation of Actions: The Case of Sex and Schooling in Malawi,American Sociological Review,article,5,82,Margaret Frye
2007,Who Pays the Price of Brokerage? Transferring Constraint through Price Setting in the Staffing Sector,American Sociological Review,article,2,72,Isabel Fernandez-Mateo
2018,Risky Investments: How Local and Foreign Investors Finesse Corruption-Rife Emerging Markets,American Sociological Review,article,4,83,Kimberly Kay Hoang
2002,Assessing Alternative Perspectives on Race and Sex Employment Segregation,American Sociological Review,article,4,67,Robert L. Kaufman
1961,Book Notes,American Sociological Review,article,2,26,
2007,The Winds of Change: The Progressive Movement and the Bureaucratization of Thrift,American Sociological Review,article,1,72,Heather A. Haveman; Hayagreeva Rao; Srikanth Paruchuri
2013,Pathways to Empowerment: Repertoires of Women's Activism and Gender Earnings Equality,American Sociological Review,article,4,78,Maria Akchurin; Cheol-Sung Lee
1992,"Sociology, Ideology, and Nation-Building: The Palestinians and Their Meaning in Israeli Sociology",American Sociological Review,article,4,57,Baruch Kimmerling
2004,The Academic Caste System: Prestige Hierarchies in PhD Exchange Networks,American Sociological Review,article,2,69,Val Burris
2004,Does Firm Size Matter Anymore? The New Economy and Firm Size Wage Effects,American Sociological Review,article,5,69,Matissa N. Hollister
2019,Performative State-Formation in the Early American Republic,American Sociological Review,article,2,84,Isaac Ariail Reed
2013,How Macro-Historical Change Shapes Cultural Taste: Legacies of Democratization in Spain and Portugal,American Sociological Review,article,2,78,Robert M. Fishman; Omar Lizardo
1953,Book Notes,American Sociological Review,article,6,18,
2017,Demonstrating Power,American Sociological Review,article,2,82,Stefaan Walgrave; Ruud Wouters
2011,Toward a Theory of Cultural Appropriation,American Sociological Review,article,4,76,Barış Büyükokutan
1983,"Salience, Heterogeneity and Consolidation of Parameters: Civilizing Blau's Primitive Theory",American Sociological Review,article,3,48,John Skvoretz
1985,User's Guide to Ratio Variables,American Sociological Review,article,5,50,Glenn Firebaugh; Jack P. Gibbs
1984,Karl Mannheim and Conservatism: The Ancestry of Historical Thinking,American Sociological Review,article,1,49,David Kettler; Volker Meja; Nico Stehr
2006,Is Telling Stories Good for Democracy? Rhetoric in Public Deliberation after 9/11,American Sociological Review,article,5,71,John Lee; Francesca Polletta
2019,"Linked Lives, Linked Trajectories",American Sociological Review,article,6,84,Siwei Cheng; Xi Song
2011,Socioeconomic Status and the Increased Prevalence of Autism in California,American Sociological Review,article,2,76,Marissa D. King; Peter S. Bearman
2019,Does Intra-household Contagion Cause an Increase in Prescription Opioid Use?,American Sociological Review,article,4,84,Mathijs de Vaan; Toby Stuart
1974,American Big Business Ideology: A Content Analysis of Executive Speeches,American Sociological Review,article,6,39,Maynard S. Seider
1979,Temporal Changes in Work Content,American Sociological Review,article,6,44,Kenneth I. Spenner
1994,Male Flight from Computer Work: A New Look at Occupational Resegregation and Ghettoization,American Sociological Review,article,4,59,Rosemary Wright; Jerry A. Jacobs
2017,Improving Cultural Analysis: Considering Personal Culture in its Declarative and Nondeclarative Modes,American Sociological Review,article,1,82,Omar Lizardo
1943,Residential Propinquity as a Factor in Marriage Selection: Fifty Year Trends in Philadelphia,American Sociological Review,article,3,8,Ray H. Abrams
2019,Public Ideas: Their Varieties and Careers,American Sociological Review,article,3,84,Orla Stapleton; Tim Hallett; Michael Sauder
2013,"Decomposing School Resegregation: Social Closure, Racial Imbalance, and Racial Isolation",American Sociological Review,article,5,78,Jeremy E. Fiel
1977,Trends in Racial Inequalities: Have the Gains of the 1960s Disappeared in the 1970s?,American Sociological Review,article,2,42,Reynolds Farley
2014,"Medical Adaptation to Academic Pressure: Schooling, Stimulant Use, and Socioeconomic Status",American Sociological Review,article,6,79,Marissa D. King; Jennifer Jennings; Jason M. Fletcher
2016,"Money Supply, Class Power, and Inflation",American Sociological Review,article,3,81,Ho-fung Hung; Daniel Thompson
2018,A Systematic Assessment of “Axial Age” Proposals Using Global Comparative Historical Evidence,American Sociological Review,article,3,83,Daniel Austin Mullins; Harvey Whitehouse; Thomas Currie; Kevin Feeney; Daniel Hoyer; Pieter François; Peter Turchin; Christina Collins; Patrick E. Savage
1975,The Labelling Theory of Mental Illness: A Reply to Scheff,American Sociological Review,article,2,40,Walter R. Gove
1989,The Sources and Structure of Legitimation in Western Democracies: A Consolidated Model Tested with Time-Series Data in Six Countries Since World War II,American Sociological Review,article,5,54,Frederick D. Weil
2010,"Occupations and the Structure of Wage Inequality in the United States, 1980s to 2000s",American Sociological Review,article,3,75,Ted Mouw; Arne L. Kalleberg
1980,In Pursuit of Preconceptions: A Reply to the Claim of Booth and His Colleagues That Household Crowding is Not an Important Variable,American Sociological Review,article,5,45,Walter R. Gove; Michael Hughes
1982,"""Sociological Reductionism"" From Parsons to Althusser: Linking Action and Structure in Social Theory",American Sociological Review,article,1,47,Nancy DiTomaso
2003,Social Capital and Finding a Job: Do Contacts Matter?,American Sociological Review,article,6,68,Ted Mouw
2017,The New Closed Shop? The Economic and Structural Effects of Occupational Licensure,American Sociological Review,article,3,82,Beth Redbird
2014,"""Notable"" or ""Not Able"": When Are Acts of Inconsistency Rewarded?",American Sociological Review,article,2,79,Stoyan V. Sgourev; Niek Althuizen
1980,Worker Productivity at Hawthorne,American Sociological Review,article,6,45,Richard Herbert Franke
1952,The Relative Rate of Communication Between Members of Small Groups,American Sociological Review,article,4,17,Frederick F. Stephan
2006,Movements and Memory: The Making of the Stonewall Myth,American Sociological Review,article,5,71,Suzanna M. Crage; Elizabeth A. Armstrong
1962,Public Affairs Opinion Leadership Among Educational Television Viewers,American Sociological Review,article,6,27,"Roy E. Carter, Jr.; Peter Clarke"
2006,"Reply to Lee, ASR, February 2006: Is There No Place for Culture in a Sociology of Legal and Illegal Enterprise?",American Sociological Review,article,1,71,Jeffery T. Ulmer; Darrell Steffensmeier
2006,Scar Effects of Unemployment: An Assessment of Institutional Complementarities,American Sociological Review,article,6,71,Markus Gangl
2001,"Social Movements and Policy Implementation: The Mississippi Civil Rights Movement and the War on Poverty, 1965 to 1971",American Sociological Review,article,1,66,Kenneth T. Andrews
2014,“Notable” or “Not Able”,American Sociological Review,article,2,79,Stoyan V. Sgourev; Niek Althuizen
2007,Dynamics of Political Polarization,American Sociological Review,article,5,72,Peter Bearman; Delia Baldassarri
1989,"Durkheim, Suicide, and Religion: Toward a Network Theory of Suicide",American Sociological Review,article,1,54,Bernice A. Pescosolido; Sharon Georgianna
2016,Ripples of Fear,American Sociological Review,article,2,81,Ji-Yub (Jay) Kim; Daphne Teh; Henrich R. Greve
2004,What is Originality in the Humanities and the Social Sciences?,American Sociological Review,article,2,69,Grégoire Mallard; Joshua Guetzkow; Michèle Lamont
1963,"High School Social Status, College Plans, and Interest in Academic Achievement: A Panel Analysis",American Sociological Review,article,6,28,Edward L. McDill; James Coleman
1991,Air Passenger Linkages and Employment Growth in U.S. Metropolitan Areas,American Sociological Review,article,4,56,Michael D. Irwin; John D. Kasarda
1978,On the Interaction Between a Movement and Its Environment,American Sociological Review,article,1,43,Edward J. Walsh
1999,The Structuring of Organizational Populations,American Sociological Review,article,3,64,David N. Barron
1984,"School Grades and Responsibility for Younger Siblings: An Empirical Study of the ""Teaching Function""",American Sociological Review,article,2,49,Thomas Ewin Smith
2011,Cultural Anchors and the Organization of Differences,American Sociological Review,article,2,76,Amin Ghaziani; Delia Baldassarri
1995,"When Bigger Is Not Better: Family Size, Parental Resources, and Children's Educational Performance",American Sociological Review,article,5,60,Douglas B. Downey
1937,The Logico-Meaningful Method of P. A. Sorokin,American Sociological Review,article,6,2,Robert Bierstedt
1999,"Parental Networks, Social Closure, and Mathematics Learning: A Test of Coleman's Social Capital Explanation of School Effects",American Sociological Review,article,5,64,Stephen L. Morgan; Aage B. Sørensen
1970,The Forum Theory of Organizational Democracy: Structural Guarantees as Time-Related Variables,American Sociological Review,article,1,35,John G. Craig; Edward Gross
1962,Asymmetric Causal Models: Comments on Polk and Blalock,American Sociological Review,article,4,27,W. S. Robinson
2019,The Cognitive Dimension of Household Labor,American Sociological Review,article,4,84,Allison Daminger
2016,How Parents Fare: Mothers' and Fathers' Subjective Well-Being in Time with Children,American Sociological Review,article,5,81,Kelly Musick; Ann Meier; Sarah Flood
1982,"Achievement Variables and Class Cultures: Family, Schooling, Job, and Forty-Nine Dependent Variables in the Cumulative GSS",American Sociological Review,article,5,47,James A. Davis
1997,Citizenship and Public Schools: Accounting for Racial Inequality in Education in the Pre- and Post-Disfranchisement South,American Sociological Review,article,1,62,Pamela Barnhouse Walters; David R. James; Holly J. McCammon
2020,"Who Gets the Benefit of the Doubt? Performance Evaluations, Medical Errors, and the Production of Gender Inequality in Emergency Medical Education",American Sociological Review,article,2,85,Arjun Dayal; Daniel M. O’Connor; Alexandra Brewer; Melissa Osborne; Vineet M. Arora; Anna S. Mueller
1999,Comment on Zhou & Hou: A Negative Life Event with Positive Consequences?,American Sociological Review,article,1,64,Kevin Chen; Xiaonong Cheng
1982,Re-Blaming the Victim: Reply,American Sociological Review,article,4,47,Diana B. Dutton
1986,The Impact of Industrial and Occupational Structure on Black-White Employment Allocation,American Sociological Review,article,3,51,Robert L. Kaufman
2018,"Scents and Sensibility: Olfaction, Sense-Making, and Meaning Attribution",American Sociological Review,article,2,83,Karen A. Cerulo
2014,Protest on the Fly: Toward a Theory of Spontaneity in the Dynamics of Protest and Social Movements,American Sociological Review,article,6,79,Dana M. Moss; David A. Snow
1995,What's in a Name? Sociological Explanation and the Problem of Place,American Sociological Review,article,5,60,Margaret R. Somers
2009,Models and Marginals: Using Survey Evidence to Study Social Networks,American Sociological Review,article,4,74,Lynn Smith-Lovin; Matthew E. Brashears; Miller McPherson
1953,Role Conflict and Ambivalence in Leadership,American Sociological Review,article,4,18,Melvin Seeman
2008,The Social Production of Toxic Uncertainty,American Sociological Review,article,3,73,Javier Auyero; Debora Swistun
1943,Attitudes on State University Campuses,American Sociological Review,article,6,8,Jay C. Knode
2010,Latino Immigrants and the U.S. Racial Order: How and Where Do They Fit In?,American Sociological Review,article,3,75,Reanne Frank; Ilana Redstone Akresh; Bo Lu
1981,The Myth of Social Class and Criminality Reconsidered,American Sociological Review,article,1,46,John Braithwaite
2015,Us and Them: Black-White Relations in the Wake of Hispanic Population Growth,American Sociological Review,article,4,80,Maria Abascal
2012,Globalization and Commitment in Corporate Social Responsibility,American Sociological Review,article,1,77,Kiyoteru Tsutsui; Alwyn Lim
2009,A Pragmatist Theory of Social Mechanisms,American Sociological Review,article,3,74,Neil Gross
2008,Make Money Surfing the Web? The Impact of Internet Use on the Earnings of U.S. Workers,American Sociological Review,article,2,73,Paul DiMaggio; Bart Bonikowski
2013,"The Capitalist Machine: Computerization, Workers' Power, and the Decline in Labor's Share within U.S. Industries",American Sociological Review,article,3,78,Tali Kristal
2018,Precarious Sexuality: How Men and Women Are Differentially Categorized for Similar Sexual Behavior,American Sociological Review,article,2,83,Trenton D. Mize; Bianca Manago
1967,Religious Identity and Church Attendance of Sons of Religious Intermarriages,American Sociological Review,article,1,32,Sydney H. Croog; James E. Teele
2011,Socioeconomic Status and the Increased Prevalence of Autism in California,American Sociological Review,article,2,76,Marissa D. King; Peter S. Bearman
1984,Unemployment and Criminal Involvement: An Investigation of Reciprocal Causal Structures,American Sociological Review,article,3,49,Terence P. Thornberry; R. L. Christenson
2005,"Sovereignty Relinquished? Explaining Commitment to the International Human Rights Covenants, 1966-1999",American Sociological Review,article,3,70,Wade M. Cole
2018,"Educational Inequality, Educational Expansion, and Intergenerational Income Persistence in the United States",American Sociological Review,article,6,83,Deirdre Bloome; Xiang Zhou; Shauna Dyer
1969,Dilemmas of a Golden Exile: Integration of Cuban Refugee Families in Milwaukee,American Sociological Review,article,4,34,Alejandro Portes
2008,Beyond the Industrial Paradigm: Market-Embedded Labor and the Gender Organization of Global Service Work in China,American Sociological Review,article,1,73,Eileen M. Otis
1987,Classification in Art,American Sociological Review,article,4,52,Paul DiMaggio
2019,Structural Sexism and Health in the United States: A New Perspective on Health Inequality and the Gender System,American Sociological Review,article,3,84,Patricia Homan
2016,"Do Highly Paid, Highly Skilled Women Experience the Largest Motherhood Penalty?",American Sociological Review,article,6,81,Paula England; Melissa J. Hodges; Jonathan Bearak; Michelle J. Budig
1987,More on Occupational Mobility and Social Class,American Sociological Review,article,3,52,C. Matthew Snipp
2001,"How Movements Win: Gendered Opportunity Structures and U.S. Women's Suffrage Movements, 1866 to 1919",American Sociological Review,article,1,66,Holly J. McCammon; Karen E. Campbell; Ellen M. Granberg; Christine Mowery
1963,Family Structure and Child-Rearing Patterns: The Effect of Family Size and Sex Composition,American Sociological Review,article,6,28,"Glen H. Elder, Jr.; Charles E. Bowerman"
1972,A Theory of Ethnic Antagonism: The Split Labor Market,American Sociological Review,article,5,37,Edna Bonacich
1961,Function and Cause,American Sociological Review,article,6,26,Ronald Philip Dore
2011,“I Need Help!” Social Class and Children’s Help-Seeking in Elementary School,American Sociological Review,article,6,76,Jessica McCrory Calarco
1981,Interpreting Linear Differential Equation Models,American Sociological Review,article,6,46,Francois Nielsen; Rachel A. Rosenfeld
2006,The Growing Female Advantage in College Completion: The Role of Family Background and Academic Achievement,American Sociological Review,article,4,71,Claudia Buchmann; Thomas A. DiPrete
2004,Does Firm Size Matter Anymore? The New Economy and Firm Size Wage Effects,American Sociological Review,article,5,69,Matissa N. Hollister
1990,Communication Dilemmas in Social Networks: An Experimental Study,American Sociological Review,article,3,55,Phillip Bonacich
1982,"Reply to Comment by Smith, Mason, and Fienberg",American Sociological Review,article,6,47,Willard L. Rodgers
1991,"Group Differences in Economic Opportunity and the Timing of Marriage: Blacks and Whites in the Rural South, 1910",American Sociological Review,article,1,56,Nancy S. Landale; Stewart E. Tolnay
2016,Neighborhood Attainment over the Adult Life Course,American Sociological Review,article,6,81,Scott J. South; Ying Huang; Amy Spring; Kyle Crowder
1965,A Method of Linear Causal Analysis: Dependence Analysis,American Sociological Review,article,3,30,Raymond Boudon
1998,Creating Status Characteristics,American Sociological Review,article,3,63,"Murray Webster, Jr.; Stuart J. Hysom"
2010,Who Benefits Most from College?,American Sociological Review,article,2,75,Jennie E. Brand; Yu Xie
1994,The Decline and Fall of the Conglomerate Firm in the 1980s: The Deinstitutionalization of an Organizational Form,American Sociological Review,article,4,59,Gerald F. Davis; Kristina A. Diekmann; Catherine H. Tinsley
1985,The Consequences of Parenthood for the Marital Stability of Young Adults,American Sociological Review,article,6,50,Linda J. Waite; Gus W. Haggstrom; David E. Kanouse
2007,How Puerto Rico Became White: Boundary Dynamics and Intercensus Racial Reclassification,American Sociological Review,article,6,72,Mara Loveman; Jeronimo O. Muniz
2010,Neighborhood Context and the Gender Gap in Adolescent Violent Crime,American Sociological Review,article,6,75,Gregory M. Zimmerman; Steven F. Messner
2005,A Comparative Study of Inequality and Corruption,American Sociological Review,article,1,70,Sanjeev Khagram; You Jong-sung
2020,"De-gendered Processes, Gendered Outcomes: How Egalitarian Couples Make Sense of Non-egalitarian Household Practices",American Sociological Review,article,5,85,Allison Daminger
1988,Attitude Strength and Social Action in the Abortion Dispute,American Sociological Review,article,5,53,Jacqueline Scott; Howard Schuman
1993,"Citizenship and the Place of the Public Sphere: Law, Community, and Political Culture in the Transition to Democracy",American Sociological Review,article,5,58,Margaret R. Somers
1974,Group Disorders in the Public School: A Comment,American Sociological Review,article,1,39,James P. Pitts
2000,A New Solution to the Collective Action Problem: The Paradox of Voter Turnout,American Sociological Review,article,3,65,Satoshi Kanazawa
1999,Bilingualism and the Academic Achievement of First- and Second-Generation Asian Americans: Accommodation with or without Assimilation?,American Sociological Review,article,2,64,Ted Mouw; Yu Xie
1977,"Reply to Bagozzi, Berk, Bohrnstedt, Pope and Ragin, and Wasserman",American Sociological Review,article,4,42,James M. Inverarity
2018,The Cultural-Cognitive Mapping of Scientific Professions,American Sociological Review,article,3,83,Kenneth T. Andrews; Gordon Gauchat
1974,The Influence of Suggestion on Suicide: Substantive and Theoretical Implications of the Werther Effect,American Sociological Review,article,3,39,David P. Phillips
2009,"Deciding to Discipline: Race, Choice, and Punishment at the Frontlines of Welfare Reform",American Sociological Review,article,3,74,Sanford F. Schram; Joe Soss; Richard C. Fording; Linda Houser
1965,Anomy: Reply to Srole and Nettler,American Sociological Review,article,5,30,Herbert McClosky; John H. Schaar
2009,Why Targets Matter: Toward a More Inclusive Model of Collective Violence,American Sociological Review,article,5,74,Andrew W. Martin; John D. McCarthy; Clark McPhail
1966,Models of Behavior in Stalinist Literature: A Case Study of Totalitarian Values and Controls,American Sociological Review,article,3,31,Paul Hollander
2017,"Seeing Like the Fed: Culture, Cognition, and Framing in the Failure to Anticipate the Financial Crisis of 2008",American Sociological Review,article,5,82,Neil Fligstein; Jonah Stuart Brundage; Michael Schultz
1986,Productivity as a Social Problem: The Uses and Misuses of Social Indicators,American Sociological Review,article,6,51,Fred Block; Gene A. Burns
1979,"Race, Regional Labor Markets and Earnings",American Sociological Review,article,2,44,Toby L. Parcel
2002,Commemorating a Difficult past: Yitzhak Rabin's Memorials,American Sociological Review,article,1,67,Vered Vinitzky-Seroussi
2004,What Is Originality in the Humanities and the Social Sciences?,American Sociological Review,article,2,69,Joshua Guetzkow; Michèle Lamont; Grégoire Mallard
2003,Space Meets Time: Integrating Temporal and Contextual Influences on Mental Health in Early Adulthood,American Sociological Review,article,5,68,Blair Wheaton; Philippa Clarke
2018,Political Consequences of Survival Strategies among the Urban Poor,American Sociological Review,article,5,83,Matthew Desmond; Adam Travis
2016,"Do Highly Paid, Highly Skilled Women Experience the Largest Motherhood Penalty?",American Sociological Review,article,6,81,Paula England; Jonathan Bearak; Michelle J. Budig; Melissa J. Hodges
2020,Scientific Hegemony and the Field of Autism,American Sociological Review,article,3,85,Claire Laurier Decoteau; Meghan Daniel
